"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1371","empty credentials scenario","chromium","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","931","@smoke valid login scenario","chromium","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","4019","valid login scenario","webkit","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","1","Verify Google page title","webkit","2026-07-20","skipped","2026-07-20","","google.spec.js","",""
"","3668","@regression invalid login scenario","chromium","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","1110","login test","chromium","2026-07-18","passed","2026-07-18","","login.spec.js","",""
"","13","Verify Google page title","chromium","2026-07-20","skipped","2026-07-20","","google.spec.js","",""
"","3066","invalid login scenario","chromium","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","2674","invalid login scenario","webkit","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","8461","empty credentials scenario","firefox","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","1016","valid login scenario","chromium","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","2661","empty credentials scenario","webkit","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","8718","valid login scenario","firefox","2026-07-20","passed","2026-07-20","","login.spec.js","",""
"","1","Verify Google page title","firefox","2026-07-20","skipped","2026-07-20","","google.spec.js","",""
"","11066","invalid login scenario","firefox","2026-07-20","passed","2026-07-20","","login.spec.js","",""
